time_id,stage1_index,stage1_line,stage2_index,stage2_line,stage3_index,stage3_line,stage4_index,stage4_line
1,1,淄川-泰山发电I线,1,栖霞发电-光州线,1,闻韶-泉城GII线,1,济南发电-蟠龙线
1,1,淄川-泰山发电I线,1,栖霞发电-光州线,1,闻韶-泉城GII线,2,光州-大泽线
1,1,淄川-泰山发电I线,1,栖霞发电-光州线,1,闻韶-泉城GII线,3,油城-垦东线
1,1,淄川-泰山发电I线,1,栖霞发电-光州线,2,沂南-日照发电线,1,嘉祥G-金乡线
1,1,淄川-泰山发电I线,1,栖霞发电-光州线,2,沂南-日照发电线,2,泰山-郓城线
1,1,淄川-泰山发电I线,1,栖霞发电-光州线,2,沂南-日照发电线,3,寿电G-寿光发电II线
1,1,淄川-泰山发电I线,1,栖霞发电-光州线,3,广固-临淄发电I线,1,华德G-陵县线
1,1,淄川-泰山发电I线,1,栖霞发电-光州线,3,广固-临淄发电I线,2,鲁昌乐-鲁泉城G I线
1,1,淄川-泰山发电I线,1,栖霞发电-光州线,3,广固-临淄发电I线,3,日照发电-高乡特I线
1,1,淄川-泰山发电I线,2,胶东-崂山发电I线,1,琅琊发电-日照发电II线,1,泉城G-龙山I线
1,1,淄川-泰山发电I线,2,胶东-崂山发电I线,1,琅琊发电-日照发电II线,2,长清-蟠龙I线
1,1,淄川-泰山发电I线,2,胶东-崂山发电I线,1,琅琊发电-日照发电II线,3,泉城G-高青发电I线
1,1,淄川-泰山发电I线,2,胶东-崂山发电I线,2,琅琊发电-密州II线,1,淄川-泰山发电II线
1,1,淄川-泰山发电I线,2,胶东-崂山发电I线,2,琅琊发电-密州II线,2,滨州-淄川线
1,1,淄川-泰山发电I线,2,胶东-崂山发电I线,2,琅琊发电-密州II线,3,管仲-淄川II线
1,1,淄川-泰山发电I线,2,胶东-崂山发电I线,3,泰山发电-岱宗线,1,沂蒙-兰陵发电I线
1,1,淄川-泰山发电I线,2,胶东-崂山发电I线,3,泰山发电-岱宗线,2,儒林-泰山发电线
1,1,淄川-泰山发电I线,2,胶东-崂山发电I线,3,泰山发电-岱宗线,3,鲁中发电-新泰线
1,1,淄川-泰山发电I线,3,运河G-汶上I线,1,垦东-海口II线,1,贝州-德州发电线
1,1,淄川-泰山发电I线,3,运河G-汶上I线,1,垦东-海口II线,2,润泽G-郓城线
1,1,淄川-泰山发电I线,3,运河G-汶上I线,1,垦东-海口II线,3,琅琊发电-日照发电II线
1,1,淄川-泰山发电I线,3,运河G-汶上I线,2,昌乐-乔官II线,1,广固-淄博线
1,1,淄川-泰山发电I线,3,运河G-汶上I线,2,昌乐-乔官II线,2,鲁高乡特-鲁昌乐II线
1,1,淄川-泰山发电I线,3,运河G-汶上I线,2,昌乐-乔官II线,3,枣庄G-枣庄市I线
1,1,淄川-泰山发电I线,3,运河G-汶上I线,3,崂山发电-即墨II线,1,国枣庄G-鲁泉城G II线
1,1,淄川-泰山发电I线,3,运河G-汶上I线,3,崂山发电-即墨II线,2,巨峰-莒南I线
1,1,淄川-泰山发电I线,3,运河G-汶上I线,3,崂山发电-即墨II线,3,兰陵发电-峄城I线
1,1,淄川-泰山发电I线,4,海阳G-大泽II线,1,国枣庄G-国菏泽G II线,1,海口-富国线
1,1,淄川-泰山发电I线,4,海阳G-大泽II线,1,国枣庄G-国菏泽G II线,2,蒙抽G-沂蒙II线
1,1,淄川-泰山发电I线,4,海阳G-大泽II线,1,国枣庄G-国菏泽G II线,3,淄川-泰山发电II线
1,1,淄川-泰山发电I线,4,海阳G-大泽II线,2,海阳G-莱阳II线,1,菏泽G-桂陵I线
1,1,淄川-泰山发电I线,4,海阳G-大泽II线,2,海阳G-莱阳II线,2,鲁高乡特-国枣庄G I线
1,1,淄川-泰山发电I线,4,海阳G-大泽II线,2,海阳G-莱阳II线,3,沂南-鲁中发电线
1,1,淄川-泰山发电I线,4,海阳G-大泽II线,3,鲁广固特-鲁昌乐特II线,1,德州发电-闻韶线
1,1,淄川-泰山发电I线,4,海阳G-大泽II线,3,鲁广固特-鲁昌乐特II线,2,沂南-莒南II线
1,1,淄川-泰山发电I线,4,海阳G-大泽II线,3,鲁广固特-鲁昌乐特II线,3,枣庄市-金乡I线
1,2,沂南-密州线,1,莒南-兰陵发电I线,1,润泽G-郓城线,1,陵县-惠民线
1,2,沂南-密州线,1,莒南-兰陵发电I线,1,润泽G-郓城线,2,泉城G-石家庄I线
1,2,沂南-密州线,1,莒南-兰陵发电I线,1,润泽G-郓城线,3,临淄发电-淄博线
1,2,沂南-密州线,1,莒南-兰陵发电I线,2,抽蓄G-昆嵛发电I线,1,泰山-郓城线
1,2,沂南-密州线,1,莒南-兰陵发电I线,2,抽蓄G-昆嵛发电I线,2,密州-昌乐I线
1,2,沂南-密州线,1,莒南-兰陵发电I线,2,抽蓄G-昆嵛发电I线,3,胶东-大泽线
1,2,沂南-密州线,1,莒南-兰陵发电I线,3,密州-临朐线,1,蒙抽G-沂蒙I线
1,2,沂南-密州线,1,莒南-兰陵发电I线,3,密州-临朐线,2,黄骅G-滨州I线
1,2,沂南-密州线,1,莒南-兰陵发电I线,3,密州-临朐线,3,昌乐-临朐I线
1,2,沂南-密州线,2,崂山发电-莱阳线,1,沂南-沂蒙线,1,博厂G-惠民线
1,2,沂南-密州线,2,崂山发电-莱阳线,1,沂南-沂蒙线,2,广固-益都II线
1,2,沂南-密州线,2,崂山发电-莱阳线,1,沂南-沂蒙线,3,抽蓄G-昆嵛发电I线
1,2,沂南-密州线,2,崂山发电-莱阳线,2,闻韶-泉城GII线,1,临淄发电-淄博线
1,2,沂南-密州线,2,崂山发电-莱阳线,2,闻韶-泉城GII线,2,鲁中发电-临朐线
1,2,沂南-密州线,2,崂山发电-莱阳线,2,闻韶-泉城GII线,3,抽蓄G-昆嵛发电II线
1,2,沂南-密州线,2,崂山发电-莱阳线,3,东电G-海口II线,1,蟠龙-闻韶线
1,2,沂南-密州线,2,崂山发电-莱阳线,3,东电G-海口II线,2,莱州G-光州II线
1,2,沂南-密州线,2,崂山发电-莱阳线,3,东电G-海口II线,3,兰陵发电-峄城I线
1,2,沂南-密州线,3,海阳G-莱阳II线,1,枣庄G-新泰I线,1,嘉祥G-金乡线
1,2,沂南-密州线,3,海阳G-莱阳II线,1,枣庄G-新泰I线,2,嘉祥G-汶上线
1,2,沂南-密州线,3,海阳G-莱阳II线,1,枣庄G-新泰I线,3,油城-高青发电
1,2,沂南-密州线,3,海阳G-莱阳II线,2,乔官-潍坊线,1,长清-蟠龙II线
1,2,沂南-密州线,3,海阳G-莱阳II线,2,乔官-潍坊线,2,广固-益都III线
1,2,沂南-密州线,3,海阳G-莱阳II线,2,乔官-潍坊线,3,菏泽G-桂陵I线
1,2,沂南-密州线,3,海阳G-莱阳II线,3,昆嵛发电-牟平I线,1,广固-临淄发电I线
1,2,沂南-密州线,3,海阳G-莱阳II线,3,昆嵛发电-牟平I线,2,峄城-枣庄I线
1,2,沂南-密州线,3,海阳G-莱阳II线,3,昆嵛发电-牟平I线,3,汶上-泰山发电I线
1,2,沂南-密州线,4,兰陵发电-峄城II线,1,润泽G-文亭II线,1,华德G-陵县线
1,2,沂南-密州线,4,兰陵发电-峄城II线,1,润泽G-文亭II线,2,潍坊-益都线
1,2,沂南-密州线,4,兰陵发电-峄城II线,1,润泽G-文亭II线,3,辛安G-聊城发电I线
1,2,沂南-密州线,4,兰陵发电-峄城II线,2,博厂G-油城I线,1,聊城发电-长清线
1,2,沂南-密州线,4,兰陵发电-峄城II线,2,博厂G-油城I线,2,汶上-泰山发电I线
